Emotion,Noun,Frequency
Anger,time,50
Anger,month,50
Anger,day,50
Anger,just,49
Anger,im,47
Anger,year,43
Anger,sugar,36
Anger,test,35
Anger,doctor,35
Anger,blood,33
Anger,insulin,31
Anger,want,30
Anger,way,29
Anger,week,29
Anger,lot,28
Anger,dont,27
Anger,feel,27
Anger,english,26
Anger,type,25
Anticipation,time,165
Anticipation,month,164
Anticipation,blood,163
Anticipation,day,137
Anticipation,sugar,130
Anticipation,im,129
Anticipation,test,126
Anticipation,doctor,125
Anticipation,year,121
Anticipation,lot,115
Anticipation,insulin,107
Anticipation,just,102
Anticipation,number,100
Anticipation,english,85
Anticipation,level,83
Anticipation,work,82
Anticipation,bg,82
Anticipation,type,79
Anticipation,aid,76
Disgust,month,53
Disgust,time,49
Disgust,day,47
Disgust,im,46
Disgust,just,45
Disgust,blood,45
Disgust,year,43
Disgust,test,41
Disgust,doctor,40
Disgust,sugar,39
Disgust,insulin,34
Disgust,way,33
Disgust,lot,32
Disgust,feel,30
Disgust,want,29
Disgust,english,29
Disgust,type,28
Disgust,dont,28
Disgust,week,27
Fear,month,57
Fear,time,52
Fear,blood,51
Fear,doctor,51
Fear,im,48
Fear,day,47
Fear,just,46
Fear,test,46
Fear,year,44
Fear,sugar,38
Fear,type,37
Fear,dont,36
Fear,way,33
Fear,lot,33
Fear,insulin,33
Fear,want,31
Fear,feel,29
Fear,aid,28
Fear,english,25
Joy,time,90
Joy,month,105
Joy,day,82
Joy,just,60
Joy,im,81
Joy,year,72
Joy,sugar,84
Joy,test,77
Joy,doctor,70
Joy,blood,87
Joy,insulin,47
Joy,want,44
Joy,way,33
Joy,week,50
Joy,lot,64
Joy,dont,38
Joy,feel,43
Joy,english,56
Joy,type,45
Sadness,time,80
Sadness,month,92
Sadness,day,65
Sadness,just,60
Sadness,im,70
Sadness,year,70
Sadness,sugar,63
Sadness,test,65
Sadness,doctor,58
Sadness,blood,86
Sadness,insulin,48
Sadness,want,38
Sadness,way,42
Sadness,week,44
Sadness,lot,46
Sadness,dont,36
Sadness,feel,28
Sadness,english,40
Sadness,type,37
Surprise,time,72
Surprise,month,84
Surprise,day,60
Surprise,just,41
Surprise,im,60
Surprise,year,52
Surprise,sugar,59
Surprise,test,59
Surprise,doctor,60
Surprise,blood,68
Surprise,insulin,36
Surprise,want,33
Surprise,way,25
Surprise,week,44
Surprise,lot,43
Surprise,dont,29
Surprise,feel,34
Surprise,english,51
Surprise,type,31
Trust,time,106
Trust,month,122
Trust,day,93
Trust,just,65
Trust,im,83
Trust,year,86
Trust,sugar,101
Trust,test,93
Trust,doctor,84
Trust,blood,121
Trust,insulin,59
Trust,want,48
Trust,way,39
Trust,week,55
Trust,lot,74
Trust,dont,47
Trust,feel,50
Trust,english,60
Trust,type,52
