Emotion_total,Noun_total,Frequency_total
Anger,just,73
Anger,time,70
Anger,month,66
Anger,day,66
Anger,year,58
Anger,blood,50
Anger,doctor,46
Anger,test,44
Anger,way,41
Anger,im,40
Anger,week,39
Anger,number,34
Anger,lot,32
Anger,aid,31
Anger,work,30
Anger,tml,30
Anger,thing,29
Anger,dont,28
Anger,help,27
Anger,insulin,25
Anger,feel,25
Anger,type,24
Anger,eat,24
Anger,carb,22
Anger,sugar,22
Anger,english,21
Anger,didnt,21
Anger,morning,20
Anger,food,20
Anger,level,19
Anger,hour,19
Anger,point,19
Anger,control,19
Anger,hellip,18
Anger,pump,18
Anger,ay,18
Anger,metformin,18
Anger,unit,17
Anger,life,17
Anger,night,17
Anger,check,16
Anger,end,15
Anger,thank,15
Anger,bg,15
Anger,dr,14
Anger,meal,13
Anger,doe,13
Anger,choleterol,13
Anger,heart,13
Anger,care,13
Anger,kind,13
Anger,let,13
Anger,stay,13
Anger,diagnoed,13
Anger,hi,13
Anger,doc,12
Anger,result,12
Anger,people,12
Anger,cause,12
Anger,home,12
Anger,feeling,11
Anger,t,11
Anger,b,11
Anger,pound,11
Anger,tart,11
Anger,body,11
Anger,doent,11
Anger,minute,10
Anger,change,10
Anger,still,10
Anger,ft,10
Anger,look,10
Anger,range,10
Anger,need,10
Anger,problem,10
Anger,inurance,9
Anger,matter,9
Anger,friend,9
Anger,diabete,9
Anger,pill,9
Anger,idea,9
Anger,health,9
Anger,try,9
Anger,glucoe,9
Anger,sure,9
Anger,hb,9
Anger,hate,8
Anger,lab,8
Anger,office,8
Anger,luck,8
Anger,mind,8
Anger,finger,8
Anger,medication,8
Anger,half,8
Anger,wife,8
Anger,experience,8
Anger,energy,8
Anger,feet,8
Anger,wow,8
Anger,exercise,8
Anticipation,month,255
Anticipation,time,230
Anticipation,blood,224
Anticipation,day,207
Anticipation,year,178
Anticipation,lot,176
Anticipation,just,176
Anticipation,doctor,166
Anticipation,test,156
Anticipation,im,141
Anticipation,number,140
Anticipation,tml,123
Anticipation,level,122
Anticipation,work,118
Anticipation,control,110
Anticipation,aid,109
Anticipation,insulin,106
Anticipation,week,102
Anticipation,type,93
Anticipation,dont,88
Anticipation,way,86
Anticipation,thing,79
Anticipation,english,78
Anticipation,eat,76
Anticipation,range,75
Anticipation,bg,73
Anticipation,carb,71
Anticipation,metformin,69
Anticipation,result,67
Anticipation,ay,67
Anticipation,pound,66
Anticipation,hellip,65
Anticipation,help,65
Anticipation,dr,61
Anticipation,point,61
Anticipation,sugar,58
Anticipation,meal,55
Anticipation,glucoe,55
Anticipation,people,54
Anticipation,lb,54
Anticipation,thank,52
Anticipation,doe,50
Anticipation,life,50
Anticipation,complication,48
Anticipation,diagnoed,48
Anticipation,pump,47
Anticipation,weight,47
Anticipation,feel,47
Anticipation,lab,46
Anticipation,goal,46
Anticipation,stay,46
Anticipation,didnt,45
Anticipation,problem,45
Anticipation,luck,43
Anticipation,change,43
Anticipation,job,42
Anticipation,diabete,41
Anticipation,morning,41
Anticipation,food,41
Anticipation,hb,41
Anticipation,choleterol,40
Anticipation,body,39
Anticipation,medication,38
Anticipation,t,36
Anticipation,let,36
Anticipation,b,35
Anticipation,exercise,35
Anticipation,today,34
Anticipation,need,34
Anticipation,heart,33
Anticipation,reading,33
Anticipation,check,33
Anticipation,cause,33
Anticipation,bet,31
Anticipation,yr,30
Anticipation,hi,30
Anticipation,hour,29
Anticipation,drop,29
Anticipation,maintain,28
Anticipation,plan,28
Anticipation,care,27
Anticipation,tart,27
Anticipation,lose,27
Anticipation,damage,26
Anticipation,doc,26
Anticipation,night,26
Anticipation,still,26
Anticipation,mo,25
Anticipation,end,25
Anticipation,presure,25
Anticipation,hope,25
Anticipation,period,25
Anticipation,kind,25
Anticipation,look,24
Anticipation,bit,24
Anticipation,i,24
Anticipation,kidney,24
Anticipation,try,24
Anticipation,quetion,24
Anticipation,sure,24
Disgust,blood,73
Disgust,month,72
Disgust,lot,70
Disgust,day,69
Disgust,time,62
Disgust,year,60
Disgust,just,60
Disgust,doctor,50
Disgust,im,48
Disgust,test,47
Disgust,way,43
Disgust,tml,37
Disgust,number,36
Disgust,week,35
Disgust,work,34
Disgust,level,33
Disgust,lb,31
Disgust,type,30
Disgust,aid,30
Disgust,insulin,29
Disgust,dont,28
Disgust,thing,27
Disgust,sugar,27
Disgust,feel,27
Disgust,carb,26
Disgust,eat,26
Disgust,english,24
Disgust,help,24
Disgust,pound,24
Disgust,life,23
Disgust,control,23
Disgust,food,22
Disgust,range,22
Disgust,didnt,22
Disgust,result,21
Disgust,body,21
Disgust,choleterol,20
Disgust,point,20
Disgust,bg,20
Disgust,end,19
Disgust,maintain,19
Disgust,change,19
Disgust,ay,19
Disgust,metformin,19
Disgust,weight,18
Disgust,hb,18
Disgust,heart,17
Disgust,thank,17
Disgust,diagnoed,17
Disgust,hellip,16
Disgust,people,16
Disgust,medication,16
Disgust,pump,16
Disgust,cause,16
Disgust,stay,16
Disgust,meal,15
Disgust,presure,15
Disgust,care,15
Disgust,t,15
Disgust,home,15
Disgust,try,15
Disgust,glucoe,15
Disgust,doe,14
Disgust,dr,14
Disgust,diabete,14
Disgust,hi,14
Disgust,lab,13
Disgust,pain,13
Disgust,check,12
Disgust,hour,12
Disgust,goal,12
Disgust,yr,12
Disgust,lose,12
Disgust,need,12
Disgust,effect,12
Disgust,fix,11
Disgust,feeling,11
Disgust,still,11
Disgust,close,11
Disgust,th,11
Disgust,iue,11
Disgust,health,11
Disgust,unit,10
Disgust,doc,10
Disgust,minute,10
Disgust,period,10
Disgust,wow,10
Disgust,exercise,10
Disgust,look,10
Disgust,bit,10
Disgust,lo,10
Disgust,complication,10
Disgust,luck,9
Disgust,viit,9
Disgust,night,9
Disgust,deal,9
Disgust,ft,9
Disgust,treatment,9
Disgust,wife,9
Disgust,energy,9
Fear,month,88
Fear,day,84
Fear,time,80
Fear,blood,80
Fear,just,77
Fear,year,74
Fear,lot,73
Fear,doctor,73
Fear,test,58
Fear,im,53
Fear,way,50
Fear,aid,44
Fear,type,40
Fear,work,40
Fear,tml,40
Fear,thing,39
Fear,dont,38
Fear,week,37
Fear,number,37
Fear,control,37
Fear,insulin,36
Fear,level,34
Fear,help,34
Fear,carb,33
Fear,eat,32
Fear,lb,31
Fear,english,30
Fear,life,29
Fear,pound,29
Fear,metformin,28
Fear,feel,28
Fear,hellip,27
Fear,sugar,27
Fear,point,27
Fear,change,25
Fear,end,23
Fear,food,23
Fear,choleterol,22
Fear,ay,22
Fear,range,22
Fear,didnt,22
Fear,heart,20
Fear,diabete,20
Fear,pump,20
Fear,body,20
Fear,complication,20
Fear,maintain,19
Fear,bg,19
Fear,stay,19
Fear,care,18
Fear,t,18
Fear,cause,18
Fear,weight,18
Fear,home,18
Fear,result,17
Fear,dr,17
Fear,medication,17
Fear,thank,17
Fear,check,16
Fear,glucoe,16
Fear,diagnoed,16
Fear,hb,16
Fear,mind,15
Fear,doe,15
Fear,goal,15
Fear,need,15
Fear,hi,15
Fear,doc,14
Fear,night,14
Fear,treatment,14
Fear,health,14
Fear,kind,14
Fear,look,14
Fear,bit,14
Fear,try,14
Fear,let,14
Fear,effect,14
Fear,unit,13
Fear,presure,13
Fear,people,13
Fear,still,13
Fear,dieae,13
Fear,close,13
Fear,meal,12
Fear,pain,12
Fear,iue,12
Fear,feet,12
Fear,lose,12
Fear,damage,11
Fear,fix,11
Fear,gue,11
Fear,think,11
Fear,reading,11
